Image,changed_item_long,changed_item_short
090_L_mirrorONLY_in_lamp,0,0
091_R_mirrorONLY_in_airfreshener,0,0
094_R_mirrorONLY_in_ball,0,0
095_L_mirrorONLY_in_candle,0,0
097_L_mirrorONLY_in_light,0,0
079_L_filler_present_bowl,0,0
035_L_filler_present_fruit,0,0
058_R_filler_present_clutch,0,0
057_L_filler_present_bin,0,0
038_R_filler_present_art,0,0
039_L_filler_present_ventilator,0,0
0100_L_mirrorONLY_in_mirror,0,0
03_R_filler_present_ducks,0,0
043_R_filler_present_clock,0,0
045_R_filler_present_musicdock,0,0
058_L_filler_present_clutch,0,0
048_L_filler_present_art,0,0
049_L_filler_present_painting,0,0
049_R_filler_present_painting,0,0
051_R_filler_present_owl,0,0
052_L_filler_present_speaker,0,0
054_L_filler_present_firewood,0,0
055_L_filler_present_carpet,0,0
048_R_filler_present_art,0,0
image-111,0,0
09_R_filler_present_carpet,0,0
047_R_filler_present_handle,0,0
image-129,0,0
083_R_filler_present_knob,0,0
023_L_filler_present_remote,0,0
0119_R_window_in_painting,0,0
011_L_filler_present_parfum,0,0
061_R_filler_present_glass,0,0
0118_L_window_in_shoes,0,0
086_L_mirrorONLY_in_book,0,0
022_L_filler_present_lamp,0,0
0120_R_window_in_art,0,0
088_L_mirrorONLY_in_clock,0,0
image-116,0,0
088_R_mirrorONLY_in_clock,0,0
0110_L_window_in_plant,0,0
035_R_filler_present_fruit,0,0
083_L_filler_present_knob,0,0
047_L_filler_present_handle,0,0
image-11,0,0
076_L_filler_present_hook,0,0
029_L_filler_present_glass,0,0
075_R_filler_present_light,0,0
0105_R_mirrorONLY_in_hat,0,0
image-41,0,0
029_R_filler_present_glass,0,0
0104_L_mirrorONLY_in_bottle,0,0
0113_L_window_in_plant,0,0
0103_L_mirrorONLY_in_hook,0,0
07_L_filler_present_soap,0,0
0102_L_mirrorONLY_in_shoppingbag,0,0
07_R_filler_present_soap,0,0
068_R_filler_present_faucet,0,0
075_L_filler_present_light,0,0
055_R_filler_present_carpet,0,0
image-27,0,0
0122_L_window_in_chair,0,0
037_L_filler_present_towel,0,0
012_L_filler_present_tubaccesory,0,0
041_R_filler_present_fruit,0,0
0128_R_window_in_pot,0,0
051_L_filler_present_owl,0,0
096_R_mirrorONLY_in_painting,0,0
097_R_mirrorONLY_in_light,0,0
012_R_filler_present_tubaccesory,0,0
FarmByPond,0,0
044_R_filler_present_light,0,0
image-82,0,0
045_L_filler_present_musicdock,0,0
image-22,0,0
046_L_filler_present_remote,0,0
image-76,0,0
099_R_mirrorONLY_in_sconce,0,0
046_R_filler_present_remote,0,0
0127_R_window_in_light,0,0
053_R_filler_present_handle,0,0
026_R_filler_present_rack,0,0
01_L_filler_present_mirror,0,0
image-107,0,0
020_L_filler_present_walldeco,0,0
01_R_filler_present_mirror,0,0
090_R_mirrorONLY_in_lamp,0,0
039_R_filler_present_ventilator,0,0
0124_R_window_in_vase,0,0
image-102,0,0
0126_R_window_in_candles,0,0
094_L_mirrorONLY_in_ball,0,0
071_L_filler_present_art,0,0
0115_L_window_in_pot,0,0
04_L_filler_present_electricalgrid,0,0
066_R_filler_present_vase,0,0
026_L_filler_present_rack,0,0
0112_L_window_in_basket,0,0
018_R_filler_present_plant,0,0
image-24,0,0
019_L_filler_present_lamp_sized,0,0
0126_L_window_in_candles,0,0
073_L_filler_present_coffeemug,0,0
image-15,0,0
022_R_filler_present_lamp,0,0
066_L_filler_present_vase,0,0
013_L_filler_present_lamp,0,0
0125_L_window_in_sofa,0,0
052_R_filler_present_speaker,0,0
0114_R_window_in_bird,0,0
0121_L_window_in_car,0,0
021_L_filler_present_keyboard,0,0
0101_L_mirrorONLY_in_cup,0,0
067_R_filler_present_painting,0,0
036_L_filler_present_bowl,0,0
087_L_mirrorONLY_in_towelhandle,0,0
036_R_filler_present_bowl,0,0
078_L_filler_present_faucet,0,0
089_L_mirrorONLY_in_poster,0,0
060_L_filler_present_pillow,0,0
089_R_mirrorONLY_in_poster,0,0
085_L_mirrorONLY_in_switchboard,0,0
08_R_filler_present_bottle,0,0
056_L_filler_present_comforter,0,0
Barrels,0,0
093_L_mirrorONLY_in_switch,0,0
093_R_mirrorONLY_in_switch,0,0
056_R_filler_present_comforter,0,0
096_L_mirrorONLY_in_painting,0,0
image-95,0,0
image-01,0,0
Floatplane,0,0
Camel,0,0
043_L_filler_present_clock,0,0
027_R_filler_present_soapdish,0,0
image-50,0,0
0108_L_mirrorONLY_in_boa,0,0
Cockpit,0,0
image-39,0,0
image-40,0,0
